trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
13,06:49:00,06:49:00,node/7078406225,9,,,,,1,,
14,06:00:00,06:00:00,node/7037142442,1,,,,,1,,
14,06:04:38,06:04:38,node/7080251776,2,,,,,0,,
14,06:06:23,06:06:23,node/7074330403,3,,,,,0,,
14,06:08:33,06:08:33,node/7037142479,4,,,,,0,,
14,06:10:47,06:10:47,node/7074330401,5,,,,,0,,
14,06:14:38,06:14:38,node/7022397411,6,,,,,0,,
14,06:16:00,06:16:00,node/7037183491,7,,,,,1,,
15,06:00:00,06:00:00,node/7037183490,1,,,,,1,,
15,06:01:36,06:01:36,node/7080251774,2,,,,,0,,
15,06:05:14,06:05:14,node/7074330400,3,,,,,0,,
15,06:09:09,06:09:09,node/7037142483,4,,,,,0,,
15,06:10:40,06:10:40,node/7080251773,5,,,,,0,,
15,06:13:00,06:13:00,node/7070861713,6,,,,,0,,
15,06:18:00,06:18:00,node/7037142441,7,,,,,1,,
16,06:00:00,06:00:00,node/7080440200,1,,,,,1,,
16,06:03:53,06:03:53,node/7080440198,2,,,,,0,,
16,06:06:29,06:06:29,node/7080440197,3,,,,,0,,
16,06:09:09,06:09:09,node/7080440196,4,,,,,0,,
16,06:11:21,06:11:21,node/7080440195,5,,,,,0,,
16,06:13:13,06:13:13,node/7080440194,6,,,,,0,,
16,06:15:32,06:15:32,node/5736089088,7,,,,,0,,
16,06:18:18,06:18:18,node/7041071419,8,,,,,0,,
16,06:19:00,06:19:00,node/7074707878,9,,,,,1,,
17,06:00:00,06:00:00,node/7080440208,1,,,,,1,,
17,06:14:34,06:14:34,node/7041071461,2,,,,,0,,
17,06:16:52,06:16:52,node/7080440206,3,,,,,0,,
17,06:21:11,06:21:11,node/7041071459,4,,,,,0,,
17,06:27:08,06:27:08,node/7067990019,5,,,,,0,,
17,06:32:38,06:32:38,node/7080440205,6,,,,,0,,
17,06:37:09,06:37:09,node/7080440204,7,,,,,0,,
17,06:41:00,06:41:00,node/7080440203,8,,,,,1,,
18,06:00:00,06:00:00,node/6967142984,1,,,,,1,,
18,06:03:29,06:03:29,node/7080611085,2,,,,,0,,
18,06:10:07,06:10:07,node/6967179322,3,,,,,0,,
18,06:13:39,06:13:39,node/6967179323,4,,,,,0,,
18,06:16:11,06:16:11,node/7080527284,5,,,,,0,,
18,06:21:51,06:21:51,node/7041071342,6,,,,,0,,
18,06:27:13,06:27:13,node/7041071385,7,,,,,0,,
18,06:31:29,06:31:29,node/7080527282,8,,,,,0,,
18,06:32:56,06:32:56,node/7041071423,9,,,,,0,,
18,06:36:51,06:36:51,node/7041071414,10,,,,,0,,
18,06:40:43,06:40:43,node/7041071411,11,,,,,0,,
18,06:43:40,06:43:40,node/7041071407,12,,,,,0,,
18,06:47:17,06:47:17,node/6967281241,13,,,,,0,,
18,06:50:00,06:50:00,node/7070861712,14,,,,,1,,
19,06:00:00,06:00:00,node/7041071592,1,,,,,1,,
19,06:09:32,06:09:32,node/7041071406,2,,,,,0,,
19,06:15:06,06:15:06,node/847244423,3,,,,,0,,
19,06:20:35,06:20:35,node/7041071415,4,,,,,0,,
19,06:25:14,06:25:14,node/7074707880,5,,,,,0,,
19,06:28:48,06:28:48,node/7041071380,6,,,,,0,,
19,06:34:06,06:34:06,node/7041071384,7,,,,,0,,
19,06:45:28,06:45:28,node/7041071350,8,,,,,0,,
19,06:52:51,06:52:51,node/7074294627,9,,,,,0,,
19,06:56:14,06:56:14,node/7075101459,10,,,,,0,,
19,07:04:56,07:04:56,node/7041052959,11,,,,,0,,
19,07:10:26,07:10:26,node/7074525370,12,,,,,0,,
19,07:13:16,07:13:16,node/6967165728,13,,,,,0,,
19,07:19:00,07:19:00,node/7076294503,14,,,,,1,,
20,06:00:00,06:00:00,node/11034015158,1,,,,,1,,
20,06:05:59,06:05:59,node/7105840330,2,,,,,0,,
20,06:10:13,06:10:13,node/7105840331,3,,,,,0,,
20,06:13:42,06:13:42,node/7074267433,4,,,,,0,,
20,06:17:51,06:17:51,node/7074267434,5,,,,,0,,
20,06:22:32,06:22:32,node/7074267435,6,,,,,0,,
20,06:29:16,06:29:16,node/7074347184,7,,,,,0,,
20,06:33:44,06:33:44,node/7074299254,8,,,,,0,,
20,06:37:00,06:37:00,node/7074387585,9,,,,,1,,
21,06:00:00,06:00:00,node/7080894001,1,,,,,1,,
21,06:03:14,06:03:14,node/6307600909,2,,,,,0,,
21,06:07:22,06:07:22,node/7080893996,3,,,,,0,,
21,06:13:28,06:13:28,node/7080893995,4,,,,,0,,
21,06:17:54,06:17:54,node/7041071651,5,,,,,0,,
21,06:22:28,06:22:28,node/7080893994,6,,,,,0,,
21,06:25:49,06:25:49,node/7105840327,7,,,,,0,,
21,06:27:55,06:27:55,node/7105840326,8,,,,,0,,
21,06:30:39,06:30:39,node/7105840325,9,,,,,0,,
21,06:34:01,06:34:01,node/7105840324,10,,,,,0,,
21,06:35:00,06:35:00,node/7074585943,11,,,,,1,,
22,06:00:00,06:00:00,node/4832025024,1,,,,,1,,
22,06:03:29,06:03:29,node/7081034799,2,,,,,0,,
22,06:05:31,06:05:31,node/7041071721,3,,,,,0,,
22,06:09:07,06:09:07,node/7062689856,4,,,,,0,,
22,06:10:24,06:10:24,node/7062689858,5,,,,,0,,
22,06:11:58,06:11:58,node/7037142421,6,,,,,0,,
22,06:15:00,06:15:00,node/7037142410,7,,,,,1,,
23,06:00:00,06:00:00,node/7062689859,1,,,,,1,,
23,06:05:42,06:05:42,node/7081034797,2,,,,,0,,
23,06:08:35,06:08:35,node/7062689857,3,,,,,0,,
23,06:13:31,06:13:31,node/7062689855,4,,,,,0,,
23,06:16:47,06:16:47,node/7062689854,5,,,,,0,,
23,06:22:00,06:22:00,node/7062689851,6,,,,,1,,
24,06:00:00,06:00:00,node/7076294512,1,,,,,1,,
24,06:03:57,06:03:57,node/7084255336,2,,,,,0,,
24,06:04:46,06:04:46,node/7084255335,3,,,,,0,,
24,06:07:58,06:07:58,node/7084255334,4,,,,,0,,
24,06:12:48,06:12:48,node/7041071646,5,,,,,0,,
24,06:15:01,06:15:01,node/7041071643,6,,,,,0,,
24,06:18:10,06:18:10,node/7041071640,7,,,,,0,,
24,06:21:34,06:21:34,node/7062689844,8,,,,,0,,
24,06:24:00,06:24:00,node/7055598739,9,,,,,1,,
25,06:00:00,06:00:00,node/7084255333,1,,,,,1,,
25,06:05:28,06:05:28,node/7074275407,2,,,,,0,,
25,06:07:12,06:07:12,node/7041071642,3,,,,,0,,
25,06:09:25,06:09:25,node/7074233342,4,,,,,0,,
25,06:11:08,06:11:08,node/7074233343,5,,,,,0,,
25,06:13:12,06:13:12,node/7074233344,6,,,,,0,,
25,06:14:42,06:14:42,node/7074233345,7,,,,,0,,
25,06:16:33,06:16:33,node/7084255331,8,,,,,0,,
25,06:18:10,06:18:10,node/7074233346,9,,,,,0,,
25,06:20:00,06:20:00,node/7041071749,10,,,,,1,,
26,06:00:00,06:00:00,node/7084722456,1,,,,,1,,
26,06:03:44,06:03:44,node/7084722454,2,,,,,0,,
26,06:05:32,06:05:32,node/7041071596,3,,,,,0,,
26,06:09:53,06:09:53,node/7074585943,4,,,,,0,,
26,06:11:39,06:11:39,node/7041071638,5,,,,,0,,
26,06:16:48,06:16:48,node/7041071636,6,,,,,0,,
26,06:21:05,06:21:05,node/7041071725,7,,,,,0,,
26,06:27:00,06:27:00,node/7076294516,8,,,,,1,,
27,06:00:00,06:00:00,node/7076294511,1,,,,,1,,
27,06:02:08,06:02:08,node/7084722461,2,,,,,0,,
27,06:06:04,06:06:04,node/7084722460,3,,,,,0,,
27,06:10:59,06:10:59,node/7084722459,4,,,,,0,,
27,06:13:08,06:13:08,node/7084722458,5,,,,,0,,
27,06:15:26,06:15:26,node/7041071579,6,,,,,0,,
27,06:17:19,06:17:19,node/7041071594,7,,,,,0,,
27,06:21:28,06:21:28,node/7084722457,8,,,,,0,,
27,06:26:00,06:26:00,node/7041071599,9,,,,,1,,
28,06:00:00,06:00:00,node/7041071290,1,,,,,1,,
28,06:05:17,06:05:17,node/7041071286,2,,,,,0,,
28,06:08:46,06:08:46,node/7041052980,3,,,,,0,,
28,06:13:42,06:13:42,node/7041052978,4,,,,,0,,
28,06:18:28,06:18:28,node/7067942461,5,,,,,0,,
28,06:25:11,06:25:11,node/7084873011,6,,,,,0,,
28,06:28:03,06:28:03,node/7084873010,7,,,,,0,,
28,06:30:18,06:30:18,node/7084873009,8,,,,,0,,
28,06:36:18,06:36:18,node/7041071342,9,,,,,0,,
28,06:41:37,06:41:37,node/7041071385,10,,,,,0,,
28,06:45:50,06:45:50,node/7080527282,11,,,,,0,,
28,06:48:02,06:48:02,node/7041071425,12,,,,,0,,
28,06:51:17,06:51:17,node/7041071432,13,,,,,0,,
28,06:54:49,06:54:49,node/7084873008,14,,,,,0,,
28,06:56:12,06:56:12,node/7084873007,15,,,,,0,,
28,06:59:32,06:59:32,node/7041071388,16,,,,,0,,
28,07:03:25,07:03:25,node/7084873006,17,,,,,0,,
28,07:07:00,07:07:00,node/7078406225,18,,,,,1,,
29,06:00:00,06:00:00,node/7078406240,1,,,,,1,,
29,06:05:38,06:05:38,node/7084873016,2,,,,,0,,
29,06:09:06,06:09:06,node/7084873015,3,,,,,0,,
29,06:11:35,06:11:35,node/7041071429,4,,,,,0,,
29,06:13:02,06:13:02,node/7041071380,5,,,,,0,,
29,06:16:11,06:16:11,node/7084873014,6,,,,,0,,
29,06:19:34,06:19:34,node/7041071350,7,,,,,0,,
29,06:22:28,06:22:28,node/7074294627,8,,,,,0,,
29,06:23:50,06:23:50,node/7084873013,9,,,,,0,,
29,06:26:05,06:26:05,node/7041052965,10,,,,,0,,
29,06:28:59,06:28:59,node/7041052970,11,,,,,0,,
29,06:30:30,06:30:30,node/7074819178,12,,,,,0,,
29,06:33:19,06:33:19,node/7041052977,13,,,,,0,,
29,06:36:28,06:36:28,node/7041052982,14,,,,,0,,
29,06:37:55,06:37:55,node/7084873012,15,,,,,0,,
29,06:42:00,06:42:00,node/7041071289,16,,,,,1,,
30,06:00:00,06:00:00,node/7077863012,1,,,,,1,,
30,06:07:12,06:07:12,node/7084932742,2,,,,,0,,
30,06:12:51,06:12:51,node/7084932741,3,,,,,0,,
30,06:17:37,06:17:37,node/7084932740,4,,,,,0,,
30,06:24:08,06:24:08,node/7041071395,5,,,,,0,,
30,06:28:58,06:28:58,node/7084932739,6,,,,,0,,
30,06:34:36,06:34:36,node/7084932738,7,,,,,0,,
30,06:38:00,06:38:00,node/7084932737,8,,,,,0,,
30,06:46:00,06:46:00,node/7078164250,9,,,,,1,,
31,06:00:00,06:00:00,node/7084932747,1,,,,,1,,
31,06:13:57,06:13:57,node/7084932745,2,,,,,0,,
